""
"Point System Name:","Example"
"Point Name:","Example"
"Point Type:","LDI"
"Supervised:","Yes"
"Revision Number:","17"
"Classification:","Building Automation"
"Descriptor:","VIRT Example"
"Panel Name:","PNL1"," (PNL1)"
"Point Address:","-Virtual-"
"Text Table:","Default LDI"
"                         0 - OFF"
"                         1 - ON"
"Totalization:","None","Initial Priority:","NONE"
"Enabled for RENO:","No"
"Alarm Issue Management:","No"
"Graphic Name:","<Undefined>"
"Informational Text:","<< No Text Defined >>"
"Alarm Type:","Not Alarmable"
""
""
"Point System Name:","Example2"
"Point Name:","Example2"
"Point Type:","LAO"
"Supervised:","No"
"Revision Number:","5"
"Classification:","Building Automation"
"Descriptor:","Example2"
"Panel Name:","PNL2"," (PNL2)"
"Point Address:"," -Virtual-"
"Actuator Type","Voltage"
"Slope:","1.0","Intercept:","0.0"
"COV Limit:","1.0"
"Engineering Units:","GALLON"
"Analog Representation:","Float"
"# of decimal places:","2"
"Initial Value:","0.0"
"Totalization:","Minutes","Initial Priority:","NONE"
"Enabled for RENO:","Yes"
"Alarm Issue Management:","No"
"Graphic Name:","<Undefined>"
"Informational Text:","<< No Text Defined >>"
"Alarm Type:","Enhanced Alarms"
"Alarm Count 2:","No"
"Normal ack Enabled:","No"
"Print Info with Alarm:","Yes","Print Alarms on BLN:","Yes"
"Mode Point:","PNL.2.ALMODE"
"Level Delay (sec.):","10"
"Mode Delay (min.):","0"
"Differential:","0.0"
"Default Destination 1:","<Undefined>"
"Default Destination 2:","<Undefined>"
"Default Destination 3:","<Undefined>"
"Default Destination 4:","<Undefined>"
"Alarm Mode:","Day Mode (1)"
"Setpoint Value:","0.0"
""
"Offset     Alarm Priority    Extra Destination          Message"
" -1.0","      3","<Undefined>","      0"
""


" ********************************************************************************"
" ******************************** End of Report *********************************"
